E(uJ),tp(ps),fp(Hz),MSE,RA,,
0.91,1.03,-0.27,0.00361,37.94,,
0.91,-0.80,-0.28,0.00638,44.61,,
1.60,-0.60,-0.28,0.00447,49.86,,
0.22,1.03,-0.26,0.00075,46.43,,
-0.32,-0.90,-0.08,0.00107,42.06,,
-0.32,1.03,-0.08,0.00192,69.94,,
-0.19,-0.97,-0.24,0.000592,40.9,,
-0.19,1.03,-0.24,0.00055,32.18,,
0.14,1.03,-0.26,0.00111,29.2,,
-0.29,-0.80,-0.24,0.000473,41.08,,
-0.29,-0.60,-0.24,0.00129,47.9,,
-0.29,1.03,-0.18,0.000421,53.43,,
-0.12,-0.90,-0.26,0.00068,41.24,,
-0.12,-0.80,-0.26,0.000756,43.4,,
-0.12,-0.60,-0.26,0.000606,44.17,,
-0.12,1.03,-0.24,0.000805,44,,
-0.12,-0.60,-0.22,0.000429,43.5,,
-0.12,1.03,-0.22,0.000376,42.85,,
-0.38,-0.90,0.72,0.00107,11.66,,
-0.40,1.03,1.72,0.00114,19.35,,
-0.39,-0.80,1.72,0.00184,10.95,,
,,,,,,
0.000,0.000,0.000,,,,<=Mean
2,2,2,,,,<=Range
1.59564626,1.031513176,1.721446473,,,,<=max
-0.40435374,-0.968486824,-0.278553527,,,,<=min
